Honduras,1
Afganistan,2
Africa del Sur,3
Albania,4
Alemania,5
Andorra,6
Angola,7
Antigua y Barbuda,8
Antillas Holandesas,9
Arabia Saudita,10
Argelia,11
Argentina,12
Armenia,13
Aruba,14
Australia,15
Austria,16
Azerbaijan,17
Bahamas,18
Bahrain,19
Bangladesh,20
Barbados,21
Belarusia,22
Belgica,23
Belice,24
Benin,25
Bermudas,26
Bolivia,27
Bosnia,28
Botswana,29
Brasil,30
Brunei Darussulam,31
Bulgaria,32
Burkina Faso,33
Burundi,34
Butan,35
Camboya,36
Camerun,37
Canada,38
Cape Verde,39
Chad,40
Chile,41
China,42
Chipre,43
Colombia,44
Comoros,45
Congo,46
Corea del Norte,47
Corea del Sur,48
Costa de Marfil,49
Costa Rica,50
Croasia,51
Cuba,52
Dinamarca,53
Djibouti,54
Dominica,55
Ecuador,56
Egipto,57
El Salvador,58
Emiratos Arabes Unidos,59
Eritrea,60
Eslovenia,61
Espana,62
Estados Unidos,63
Estonia,64
Etiopia,65
Fiji,66
Filipinas,67
Finlandia,68
Francia,69
Gabon,70
Gambia,71
Georgia,72
Ghana,73
Granada,74
Grecia,75
Groenlandia,76
Guadalupe,77
Guam,78
Guatemala,79
Guayana Francesa,80
Guerney,81
Guinea,82
Guinea-Bissau,83
Guinea Equatorial,84
Guyana,85
Haiti,86
Holanda,87
Honduras,88
Hong Kong,89
Hungria,90
India,91
Indonesia,92
Irak,93
Iran,94
Irlanda,95
Islandia,96
Islas Caiman,97
Islas Faroe,98
Islas Malvinas,99
Islas Marshall,100
Islas Solomon,101
Islas Virgenes Britanicas,102
Islas Virgenes (U.S.),103
Israel,104
Italia,105
Jamaica,106
Japon,107
Jersey,108
JJordania,109
Kazakhstan,110
Kenia,111
Kiribati,112
Kuwait,113
Kyrgyzstan,114
Laos,115
Latvia,116
Lesotho,117
Libano,118
Liberia,119
Libia,120
Liechtenstein,121
Lituania,122
Luxemburgo,123
Macao,124
Macedonia,125
Madagascar,126
Malasia,127
Malawi,128
Maldivas,129
Mali,130
Malta,131
Marruecos,132
Martinica,133
Mauricio,134
Mauritania,135
Mexico,136
Micronesia,137
Moldova,138
Monaco,139
Mongolia,140
Mozambique,141
Myanmar (Burma),142
Namibia,143
Nepal,144
Nicaragua,145
Niger,146
Nigeria,147
Noruega,148
Nueva Caledonia,149
Nueva Zealandia,150
Oman,151
Pakistan,152
Palestina,153
Panama,154
Papua Nueva Guinea,155
Paraguay,156
Peru,157
Polinesia Francesa,158
Polonia,159
Portugal,160
Puerto Rico,161
Qatar,162
Reino Unido,163
Republica Centroafricana,164
Republica Checa,165
Republica Democratica del Congo,166
Republica Dominicana,167
Republica Eslovaca,168
Reunion,169
Ruanda,170
Rumania,171
Rusia,172
Sahara,173
Samoa,174
San Cristobal-Nevis (St. Kitts),175
San Marino,176
San Vincente y las Granadinas,177
Santa Helena,178
Santa Lucia,179
Santa Sede (Vaticano),180
Sao Tome & Principe,181
Senegal,182
Seychelles,183
Sierra Leona,184
Singapur,185
Siria,186
Somalia,187
Sri Lanka (Ceilan),188
Sudan,189
Suecia,190
Suiza,191
Sur Africa,192
Surinam,193
Swaziland,194
Tailandia,195
Taiwan,196
Tajikistan,197
Tanzania,198
Timor Oriental,199
Togo,200
Tokelau,201
Tonga,202
Trinidad & Tobago,203
Tunisia,204
Turkmenistan,205
Turquia,206
Ucrania,207
Uganda,208
Union Europea,209
Uruguay,210
Uzbekistan,211
Vanuatu,212
Venezuela,213
Vietnam,214
Yemen,215
Yugoslavia,216
Zambia,217
Zimbabwe ,218
